name,birth_date,age,nationality,team,position,image_url
Lamine Yamal,2007-06-15,18,Spain,FC Barcelona,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/937958-1746563945.jpg?lm=1
Erling Haaland,2000-06-15,25,Norway,Manchester City,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/418560-1709108116.png?lm=1
Kylian Mbappé,1999-06-15,26,France,Real Madrid,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/342229-1682683695.jpg?lm=1
Jude Bellingham,2003-06-15,22,England,Real Madrid,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/581678-1748102891.jpg?lm=1
Vinicius Junior,2000-06-15,25,Brazil,Real Madrid,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/371998-1761575144.jpg?lm=1
Pedri,2002-06-15,23,Spain,FC Barcelona,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/683840-1744278342.jpg?lm=1
Jamal Musiala,2003-06-15,22,Germany,Bayern Munich,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/580195-1711745441.jpg?lm=1
Michael Olise,2001-06-15,24,France,Bayern Munich,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/566723-1762944477.jpg?lm=1
Bukayo Saka,2001-06-15,24,England,Arsenal FC,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/433177-1684155052.jpg?lm=1
Cole Palmer,2002-06-15,23,England,Chelsea FC,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/568177-1712320986.jpg?lm=1
Federico Valverde,1998-06-15,27,Uruguay,Real Madrid,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/369081-1731018042.jpg?lm=1
Declan Rice,1999-06-15,26,England,Arsenal FC,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/357662-1687962936.jpg?lm=1
Alexander Isak,1999-06-15,26,Sweden,Liverpool FC,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/349066-1680791339.jpg?lm=1
Moisés Caicedo,2001-06-15,24,Ecuador,Chelsea FC,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/687626-1660729724.jpg?lm=1
Florian Wirtz,2003-06-15,22,Germany,Liverpool FC,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/598577-1689710503.jpg?lm=1
Julián Alvarez,2000-06-15,25,Argentina,Atlético de Madrid,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/576024-1684920938.jpg?lm=1
Ousmane Dembélé,1997-06-15,28,France,Paris Saint-Germain,Centre-Forward,https://img.a.transfermarkt.technology/portrait/medium/288230-1684148641.jpg?lm=1
Désiré Doué,2005-06-15,20,France,Paris Saint-Germain,Right Winger,https://img.a.transfermarkt.technology/portrait/medium/914562-1667317075.jpg?lm=1
Arda Güler,2005-06-15,20,Türkiye,Real Madrid,Attacking Midfield,https://img.a.transfermarkt.technology/portrait/medium/861410-1699472585.jpg?lm=1
João Neves,2004-06-15,21,Portugal,Paris Saint-Germain,Central Midfield,https://img.a.transfermarkt.technology/portrait/medium/670681-1701295511.jpg?lm=1
Khvicha Kvaratskhelia,2001-06-15,24,Georgia,Paris Saint-Germain,Left Winger,https://img.a.transfermarkt.technology/portrait/medium/502670-1708553120.jpg?lm=1
William Saliba,2001-06-15,24,France,Arsenal FC,Centre-Back,https://img.a.transfermarkt.technology/portrait/medium/495666-1718697201.jpg?lm=1
Vitinha,2000-06-15,25,Portugal,Paris Saint-Germain,Defensive Midfield,https://img.a.transfermarkt.technology/portrait/medium/487469-1749415169.jpg?lm=1
